 # He-Ba+ p-pots from DIM (no SO) using Fausto"s inputs, Angstoms, cm-1
 #        r            6p 1          6p 2          6p 3     6p4      6p5    6p6
   10.588000       12984.808       12984.808       13042.516       13042.516       13042.521       13042.521    
   10.622000       12984.811       12984.811       13042.518       13042.518       13042.524       13042.524    
   10.656000       12984.814       12984.814       13042.516       13042.516       13042.532       13042.532    
   10.690000       12984.817       12984.817       13042.514       13042.514       13042.540       13042.540    
   10.724000       12984.820       12984.820       13042.512       13042.512       13042.548       13042.548    
   10.758000       12984.823       12984.823       13042.511       13042.511       13042.556       13042.556    
   10.792000       12984.827       12984.827       13042.511       13042.511       13042.563       13042.563    
   10.826000       12984.830       12984.830       13042.511       13042.511       13042.570       13042.570    
   10.860000       12984.834       12984.834       13042.511       13042.511       13042.577       13042.577    
   10.894000       12984.837       12984.837       13042.511       13042.511       13042.584       13042.584    
   10.928000       12984.841       12984.841       13042.512       13042.512       13042.591       13042.591    
   10.962000       12984.845       12984.845       13042.513       13042.513       13042.597       13042.597    
   10.996000       12984.849       12984.849       13042.514       13042.514       13042.604       13042.604    
   11.030000       12984.852       12984.852       13042.516       13042.516       13042.610       13042.610    
   11.064000       12984.856       12984.856       13042.518       13042.518       13042.616       13042.616    
   11.098000       12984.860       12984.860       13042.520       13042.520       13042.622       13042.622    
   11.132000       12984.864       12984.864       13042.522       13042.522       13042.628       13042.628    
   11.166000       12984.868       12984.868       13042.524       13042.524       13042.633       13042.633    
   11.200000       12984.872       12984.872       13042.527       13042.527       13042.639       13042.639    
   11.234000       12984.876       12984.876       13042.530       13042.530       13042.644       13042.644    
   11.268000       12984.881       12984.881       13042.532       13042.532       13042.650       13042.650    
   11.302000       12984.885       12984.885       13042.535       13042.535       13042.655       13042.655    
   11.336000       12984.889       12984.889       13042.539       13042.539       13042.660       13042.660    
   11.370000       12984.893       12984.893       13042.542       13042.542       13042.665       13042.665    
   11.404000       12984.897       12984.897       13042.545       13042.545       13042.670       13042.670    
   11.438000       12984.901       12984.901       13042.549       13042.549       13042.674       13042.674    
   11.472000       12984.905       12984.905       13042.552       13042.552       13042.679       13042.679    
   11.506000       12984.909       12984.909       13042.556       13042.556       13042.683       13042.683    
   11.540000       12984.913       12984.913       13042.560       13042.560       13042.688       13042.688    
   11.574000       12984.917       12984.917       13042.563       13042.563       13042.692       13042.692    
   11.608000       12984.921       12984.921       13042.567       13042.567       13042.696       13042.696    
   11.642000       12984.925       12984.925       13042.571       13042.571       13042.700       13042.700    
   11.676000       12984.929       12984.929       13042.575       13042.575       13042.704       13042.704    
   11.710000       12984.933       12984.933       13042.579       13042.579       13042.708       13042.708    
   11.744000       12984.937       12984.937       13042.583       13042.583       13042.712       13042.712    
   11.778000       12984.941       12984.941       13042.587       13042.587       13042.716       13042.716    
   11.812000       12984.945       12984.945       13042.591       13042.591       13042.719       13042.719    
   11.846000       12984.948       12984.948       13042.595       13042.595       13042.723       13042.723    
   11.880000       12984.952       12984.952       13042.599       13042.599       13042.726       13042.726    
   11.914000       12984.956       12984.956       13042.603       13042.603       13042.730       13042.730    
   11.948000       12984.960       12984.960       13042.607       13042.607       13042.733       13042.733    
   11.982000       12984.963       12984.963       13042.611       13042.611       13042.736       13042.736    
   12.016000       12984.967       12984.967       13042.615       13042.615       13042.739       13042.739    
   12.050000       12984.970       12984.970       13042.619       13042.619       13042.743       13042.743    
   12.084000       12984.974       12984.974       13042.623       13042.623       13042.746       13042.746    
   12.118000       12984.977       12984.977       13042.627       13042.627       13042.749       13042.749    
   12.152000       12984.981       12984.981       13042.631       13042.631       13042.751       13042.751    
   12.186000       12984.984       12984.984       13042.635       13042.635       13042.754       13042.754    
   12.220000       12984.988       12984.988       13042.639       13042.639       13042.757       13042.757    
   12.254000       12984.991       12984.991       13042.643       13042.643       13042.760       13042.760    
   12.288000       12984.994       12984.994       13042.647       13042.647       13042.762       13042.762    
   12.322000       12984.997       12984.997       13042.651       13042.651       13042.765       13042.765    
   12.356000       12985.001       12985.001       13042.655       13042.655       13042.768       13042.768    
   12.390000       12985.004       12985.004       13042.659       13042.659       13042.770       13042.770    
   12.424000       12985.007       12985.007       13042.662       13042.662       13042.772       13042.772    
   12.458000       12985.010       12985.010       13042.666       13042.666       13042.775       13042.775    
   12.492000       12985.013       12985.013       13042.670       13042.670       13042.777       13042.777    
   12.526000       12985.016       12985.016       13042.674       13042.674       13042.779       13042.779    
   12.560000       12985.019       12985.019       13042.677       13042.677       13042.782       13042.782    
   12.594000       12985.022       12985.022       13042.681       13042.681       13042.784       13042.784    
   12.628000       12985.025       12985.025       13042.684       13042.684       13042.786       13042.786    
   12.662000       12985.028       12985.028       13042.688       13042.688       13042.788       13042.788    
   12.696000       12985.030       12985.030       13042.691       13042.691       13042.790       13042.790    
   12.730000       12985.033       12985.033       13042.695       13042.695       13042.792       13042.792    
   12.764000       12985.036       12985.036       13042.698       13042.698       13042.794       13042.794    
   12.798000       12985.038       12985.038       13042.702       13042.702       13042.796       13042.796    
   12.832000       12985.041       12985.041       13042.705       13042.705       13042.798       13042.798    
   12.866000       12985.043       12985.043       13042.708       13042.708       13042.800       13042.800    
   12.900000       12985.046       12985.046       13042.711       13042.711       13042.801       13042.801    
   12.934000       12985.048       12985.048       13042.715       13042.715       13042.803       13042.803    
   12.968000       12985.051       12985.051       13042.718       13042.718       13042.805       13042.805    
   13.002000       12985.053       12985.053       13042.721       13042.721       13042.807       13042.807    
   13.036000       12985.056       12985.056       13042.724       13042.724       13042.808       13042.808    
   13.070000       12985.058       12985.058       13042.727       13042.727       13042.810       13042.810    
   13.104000       12985.060       12985.060       13042.730       13042.730       13042.811       13042.811    
   13.138000       12985.062       12985.062       13042.733       13042.733       13042.813       13042.813    
